combo_index,buy_pullback_rsi,sell_overbought_rsi,min_atr,extreme_setup_rsi,extreme_setup_rel_vol,return_pct,max_drawdown_pct,max_drawdown_abs,win_rate_pct,profit_factor,sharpe_ratio,trade_count
324,52.0,85.0,0.01,30.0,1.2,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
232,52.0,75.0,0.003,30.0,0.8,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
234,52.0,75.0,0.003,30.0,1.2,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
297,52.0,85.0,0.001,30.0,1.2,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
296,52.0,85.0,0.001,30.0,1.0,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
295,52.0,85.0,0.001,30.0,0.8,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
260,52.0,80.0,0.001,30.0,1.0,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
241,52.0,75.0,0.005,30.0,0.8,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
288,52.0,80.0,0.01,30.0,1.2,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
287,52.0,80.0,0.01,30.0,1.0,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
286,52.0,80.0,0.01,30.0,0.8,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
242,52.0,75.0,0.005,30.0,1.0,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
243,52.0,75.0,0.005,30.0,1.2,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
279,52.0,80.0,0.005,30.0,1.2,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
278,52.0,80.0,0.005,30.0,1.0,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
277,52.0,80.0,0.005,30.0,0.8,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
250,52.0,75.0,0.01,30.0,0.8,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
251,52.0,75.0,0.01,30.0,1.0,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
252,52.0,75.0,0.01,30.0,1.2,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
270,52.0,80.0,0.003,30.0,1.2,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
269,52.0,80.0,0.003,30.0,1.0,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
268,52.0,80.0,0.003,30.0,0.8,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
259,52.0,80.0,0.001,30.0,0.8,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
233,52.0,75.0,0.003,30.0,1.0,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
261,52.0,80.0,0.001,30.0,1.2,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
313,52.0,85.0,0.005,30.0,0.8,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
323,52.0,85.0,0.01,30.0,1.0,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
304,52.0,85.0,0.003,30.0,0.8,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
305,52.0,85.0,0.003,30.0,1.0,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
306,52.0,85.0,0.003,30.0,1.2,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
315,52.0,85.0,0.005,30.0,1.2,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
314,52.0,85.0,0.005,30.0,1.0,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
322,52.0,85.0,0.01,30.0,0.8,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
225,52.0,75.0,0.001,30.0,1.2,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
224,52.0,75.0,0.001,30.0,1.0,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
223,52.0,75.0,0.001,30.0,0.8,72.5298048488031,-26.9714398313196,26.9714398313196,49.193548387096776,2.538857929839258,0.4461236811826304,124
231,52.0,75.0,0.003,25.0,1.2,69.39333842157961,-26.972152571527165,26.972152571527165,48.36065573770492,2.4867379577810995,0.4361351170377189,122
220,52.0,75.0,0.001,25.0,0.8,69.39333842157961,-26.972152571527165,26.972152571527165,48.36065573770492,2.4867379577810995,0.4361351170377189,122
219,52.0,75.0,0.001,20.0,1.2,69.39333842157961,-26.972152571527165,26.972152571527165,48.36065573770492,2.4867379577810995,0.4361351170377189,122
253,52.0,80.0,0.001,20.0,0.8,69.39333842157961,-26.972152571527165,26.972152571527165,48.36065573770492,2.4867379577810995,0.4361351170377189,122
218,52.0,75.0,0.001,20.0,1.0,69.39333842157961,-26.972152571527165,26.972152571527165,48.36065573770492,2.4867379577810995,0.4361351170377189,122
217,52.0,75.0,0.001,20.0,0.8,69.39333842157961,-26.972152571527165,26.972152571527165,48.36065573770492,2.4867379577810995,0.4361351170377189,122
249,52.0,75.0,0.01,25.0,1.2,69.39333842157961,-26.972152571527165,26.972152571527165,48.36065573770492,2.4867379577810995,0.4361351170377189,122
254,52.0,80.0,0.001,20.0,1.0,69.39333842157961,-26.972152571527165,26.972152571527165,48.36065573770492,2.4867379577810995,0.4361351170377189,122
255,52.0,80.0,0.001,20.0,1.2,69.39333842157961,-26.972152571527165,26.972152571527165,48.36065573770492,2.4867379577810995,0.4361351170377189,122
256,52.0,80.0,0.001,25.0,0.8,69.39333842157961,-26.972152571527165,26.972152571527165,48.36065573770492,2.4867379577810995,0.4361351170377189,122
257,52.0,80.0,0.001,25.0,1.0,69.39333842157961,-26.972152571527165,26.972152571527165,48.36065573770492,2.4867379577810995,0.4361351170377189,122
258,52.0,80.0,0.001,25.0,1.2,69.39333842157961,-26.972152571527165,26.972152571527165,48.36065573770492,2.4867379577810995,0.4361351170377189,122
221,52.0,75.0,0.001,25.0,1.0,69.39333842157961,-26.972152571527165,26.972152571527165,48.36065573770492,2.4867379577810995,0.4361351170377189,122
247,52.0,75.0,0.01,25.0,0.8,69.39333842157961,-26.972152571527165,26.972152571527165,48.36065573770492,2.4867379577810995,0.4361351170377189,122
