combo_index,buy_pullback_rsi,sell_overbought_rsi,min_atr,extreme_setup_rsi,extreme_setup_rel_vol,return_pct,max_drawdown_pct,max_drawdown_abs,win_rate_pct,profit_factor,sharpe_ratio,trade_count
1,42.0,70.0,0.5,25.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
2,42.0,70.0,0.5,25.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
3,42.0,70.0,0.5,25.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
4,42.0,70.0,0.5,30.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
5,42.0,70.0,0.5,30.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
6,42.0,70.0,0.5,30.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
7,42.0,70.0,0.5,35.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
8,42.0,70.0,0.5,35.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
9,42.0,70.0,0.5,35.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
10,42.0,70.0,1.5,25.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
11,42.0,70.0,1.5,25.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
12,42.0,70.0,1.5,25.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
13,42.0,70.0,1.5,30.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
14,42.0,70.0,1.5,30.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
15,42.0,70.0,1.5,30.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
16,42.0,70.0,1.5,35.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
17,42.0,70.0,1.5,35.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
18,42.0,70.0,1.5,35.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
19,42.0,70.0,2.5,25.0,0.9,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
20,42.0,70.0,2.5,25.0,1.0,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
21,42.0,70.0,2.5,25.0,1.1,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
22,42.0,70.0,2.5,30.0,0.9,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
23,42.0,70.0,2.5,30.0,1.0,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
24,42.0,70.0,2.5,30.0,1.1,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
25,42.0,70.0,2.5,35.0,0.9,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
26,42.0,70.0,2.5,35.0,1.0,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
27,42.0,70.0,2.5,35.0,1.1,11.560893055885158,-10.133876439143064,10.133876439143064,45.16129032258064,1.424214678700059,0.3767508053980568,124
28,42.0,70.0,3.5,25.0,0.9,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
29,42.0,70.0,3.5,25.0,1.0,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
30,42.0,70.0,3.5,25.0,1.1,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
31,42.0,70.0,3.5,30.0,0.9,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
32,42.0,70.0,3.5,30.0,1.0,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
33,42.0,70.0,3.5,30.0,1.1,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
34,42.0,70.0,3.5,35.0,0.9,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
35,42.0,70.0,3.5,35.0,1.0,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
36,42.0,70.0,3.5,35.0,1.1,31.733547953117462,-4.534938879989337,4.534938879989337,45.45454545454545,1.4383610388800914,0.9058942956140419,132
37,42.0,74.0,0.5,25.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
38,42.0,74.0,0.5,25.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
39,42.0,74.0,0.5,25.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
40,42.0,74.0,0.5,30.0,0.9,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
41,42.0,74.0,0.5,30.0,1.0,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
42,42.0,74.0,0.5,30.0,1.1,7.337066895454438,-10.197110591330361,10.197110591330361,44.0,1.1865995029892016,0.24534033594356508,125
