Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
77,293,294,256.8699951171875,254.1499938964844,,,-248.7886331481912,39.348539154052744,-0.012578429832735997,2023-03-06,2023-03-07,1 days,
1,294,295,254.1499938964844,253.6999969482422,,,-0.9578469390869425,0.5078499908447266,-0.003768825347590148,2023-03-07,2023-03-08,1 days,
77,295,319,253.6999969482422,283.489990234375,,,2252.465854019165,41.36362901306153,0.1153047049697763,2023-03-08,2023-04-12,35 days,
-23,319,328,283.489990234375,275.4200134277344,,,172.75453646850585,12.854930084228517,0.026494998277606752,2023-04-12,2023-04-25,13 days,
74,328,330,275.4200134277344,304.8299865722656,,,2133.3995126953123,42.938500000000005,0.10467548376652624,2023-04-25,2023-04-27,2 days,
-22,330,379,304.8299865722656,331.8299865722656,,,-608.0065194091796,14.006519409179688,-0.09066253712081151,2023-04-27,2023-07-10,74 days,
62,379,397,331.8299865722656,326.6600036621094,,,-361.3653198242188,40.82637939453125,-0.01756463591671603,2023-07-10,2023-08-03,24 days,
1,397,398,326.6600036621094,327.7799987792969,,,0.4655551147460937,0.6544400024414063,0.001425197788302478,2023-08-03,2023-08-04,1 days,
62,398,400,327.7799987792969,326.04998779296875,,,-147.7981403198242,40.53745916748046,-0.007272685892300263,2023-08-04,2023-08-08,4 days,
1,400,401,326.04998779296875,322.2300109863281,,,-4.468256805419922,0.6482799987792969,-0.013704207859860856,2023-08-08,2023-08-09,1 days,
63,401,403,322.2300109863281,321.010009765625,,,-117.38419821166993,40.52412130737305,-0.005782333047600976,2023-08-09,2023-08-11,2 days,
1,403,404,321.010009765625,324.0400085449219,,,2.3849487609863282,0.6450500183105469,0.0074295152438630056,2023-08-11,2023-08-14,3 days,
62,404,405,324.0400085449219,321.8599853515625,,,-175.20723760986328,40.045799621582034,-0.008720908260512271,2023-08-14,2023-08-15,1 days,
1,405,406,321.8599853515625,320.3999938964844,,,-2.102251434326172,0.6422599792480469,-0.006531571273235212,2023-08-15,2023-08-16,1 days,
63,406,407,320.3999938964844,316.8800048828125,,,-261.9079477844238,40.1486399230957,-0.012975246852827043,2023-08-16,2023-08-17,1 days,
1,407,408,316.8800048828125,316.4800109863281,,,-1.0333539123535156,0.6333600158691406,-0.0032610259291546927,2023-08-17,2023-08-18,1 days,
63,408,431,316.4800109863281,319.5299987792969,,,152.08060034179687,40.068630615234376,0.007627583731686109,2023-08-18,2023-09-21,34 days,
1,431,432,319.5299987792969,317.010009765625,,,-3.1565290222167968,0.6365400085449219,-0.009878662517684485,2023-09-21,2023-09-22,1 days,
63,432,433,317.010009765625,317.5400085449219,,,-6.586728057861329,39.976651153564454,-0.00032980422003387995,2023-09-22,2023-09-25,3 days,
1,433,434,317.5400085449219,312.1400146484375,,,-6.029673919677735,0.6296800231933594,-0.01898870617062648,2023-09-25,2023-09-26,1 days,
64,434,435,312.1400146484375,312.7900085449219,,,1.6040878906249958,39.995521484375004,8.029689278783768e-05,2023-09-26,2023-09-27,1 days,
1,435,436,312.7900085449219,313.6400146484375,,,0.2235760803222656,0.6264300231933594,0.0007147801215337006,2023-09-27,2023-09-28,1 days,
64,436,437,313.6400146484375,315.75,,,94.7581015625,40.2809609375,0.004720683802332041,2023-09-28,2023-09-29,1 days,
1,437,438,315.75,321.79998779296875,,,5.412437805175781,0.6375499877929688,0.017141529074190955,2023-09-29,2023-10-02,3 days,
62,438,439,321.79998779296875,313.3900146484375,,,-560.8001151123046,39.38178015136719,-0.028108028247632807,2023-10-02,2023-10-03,1 days,
3,439,440,313.3900146484375,318.9599914550781,,,14.812880401611327,1.897050018310547,0.015755533264440937,2023-10-03,2023-10-04,1 days,
61,440,441,318.9599914550781,319.3599853515625,,,-14.537890899658201,38.937518585205076,-0.0007471974125501457,2023-10-04,2023-10-05,1 days,
3,441,490,319.3599853515625,365.9299926757813,,,137.65415203857438,2.0558699340820317,0.14367710248884175,2023-10-05,2023-12-14,70 days,
52,490,491,365.9299926757813,370.7300109863281,,,211.29463195800486,38.306320190429695,0.011104195852251116,2023-12-14,2023-12-15,1 days,
3,491,492,370.7300109863281,372.6499938964844,,,3.5298087158203124,2.2301400146484376,0.0031737460426878293,2023-12-15,2023-12-18,3 days,
52,492,499,372.6499938964844,375.2799987792969,,,97.86789428710938,38.89235961914062,0.00505051635841295,2023-12-18,2023-12-28,10 days,
