Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
184,201,205,108.5,102.31999969482422,,,-1175.9109360961913,38.790879943847656,-0.058901569630143855,2018-10-18,2018-10-24,6 days,
9,205,206,102.31999969482422,108.3000030517578,,,51.92445018768298,1.895580024719238,0.05638568580330864,2018-10-24,2018-10-25,1 days,
173,206,207,108.3000030517578,106.95999908447266,,,-269.0606667098975,37.23998036956787,-0.014360701067368389,2018-10-25,2018-10-26,1 days,
11,207,208,106.95999908447266,103.8499984741211,,,-36.528916687011716,2.3189099731445313,-0.031047219861020374,2018-10-26,2018-10-29,3 days,
178,208,232,103.8499984741211,112.08999633789062,,,1428.2823006744384,38.43731907653809,0.07726584484213628,2018-10-29,2018-12-03,35 days,
-178,232,243,112.08999633789062,103.69000244140624,,,1456.7900737915063,38.40883978271484,0.07301466825847797,2018-12-03,2018-12-19,16 days,
195,243,337,103.69000244140624,125.5199966430664,,,4212.152919502261,44.69594982147217,0.20832079944044743,2018-12-19,2019-05-07,139 days,
-78,337,341,125.5199966430664,123.3499984741211,,,149.84799755859376,19.411859619140625,0.015305355522683157,2019-05-07,2019-05-13,6 days,
171,341,355,123.3499984741211,119.83999633789062,,,-641.7958544082642,41.585489112854006,-0.03042717614487768,2019-05-13,2019-06-03,21 days,
4,355,373,119.83999633789062,134.14999389648438,,,56.2240302734375,1.0159599609375,0.11728978636421403,2019-06-03,2019-06-27,24 days,
-1,373,396,134.14999389648438,136.27000427246094,,,-2.3904303741455077,0.27041999816894535,-0.017819086715651036,2019-06-27,2019-07-31,34 days,
154,396,399,136.27000427246094,132.2100067138672,,,-666.585545715332,41.34592169189453,-0.03176397911403628,2019-07-31,2019-08-05,5 days,
4,399,407,132.2100067138672,133.67999267578125,,,4.816383850097656,1.0635599975585937,0.00910744952256427,2019-08-05,2019-08-15,10 days,
152,407,464,133.67999267578125,144.4600067138672,,,1596.284853881836,42.27727990722656,0.0785598041149422,2019-08-15,2019-11-05,82 days,
-152,464,538,144.4600067138672,170.88999938964844,,,-4065.2920876464846,47.933200927734376,-0.18514011794876517,2019-11-05,2020-02-24,111 days,
119,538,539,170.88999938964844,168.07000732421875,,,-375.915296585083,40.3362407989502,-0.018485295122160968,2020-02-24,2020-02-25,1 days,
2,539,540,168.07000732421875,170.1699981689453,,,3.523501678466797,0.6764800109863282,0.010482244079604689,2020-02-25,2020-02-26,1 days,
117,540,542,170.1699981689453,162.00999450683594,,,-993.5854876098633,38.865059143066404,-0.0499041179183306,2020-02-26,2020-02-28,2 days,
7,542,544,162.00999450683594,164.50999450683594,,,15.214360076904297,2.285639923095703,0.013415715602006365,2020-02-28,2020-03-03,4 days,
67,544,547,164.50999450683594,161.57000732421875,,,-218.82650135803223,21.847360122680662,-0.01985330553465259,2020-03-03,2020-03-06,3 days,
54,547,591,161.57000732421875,184.67999267578125,,,1229.241708984375,18.697499999999998,0.14089084805129118,2020-03-06,2020-05-08,63 days,
-16,591,646,184.67999267578125,202.02000427246097,,,-283.6273854980473,6.187199951171875,-0.09598609647309476,2020-05-08,2020-07-28,81 days,
100,646,683,202.02000427246097,200.38999938964844,,,-203.24148864746377,40.24100036621094,-0.0100604635357474,2020-07-28,2020-09-18,52 days,
1,683,684,200.38999938964844,202.5399932861328,,,1.7470639038085938,0.4029299926757812,0.008718318823942466,2020-09-18,2020-09-21,3 days,
61,684,685,202.5399932861328,207.4199981689453,,,272.6727383728027,25.007559478759767,0.022069936997788316,2020-09-21,2020-09-22,1 days,
36,685,686,207.4199981689453,200.58999633789065,,,-260.56842572021384,14.688359802246095,-0.034895438672533786,2020-09-22,2020-09-23,1 days,
54,686,712,200.58999633789065,204.72000122070312,,,201.1335238037094,21.886739868164064,0.018568697109798533,2020-09-23,2020-10-29,36 days,
45,712,713,204.72000122070312,202.47000122070312,,,-119.57355010986328,18.32355010986328,-0.012979630649653837,2020-10-29,2020-10-30,1 days,
55,713,714,202.47000122070312,202.3300018310547,,,-29.963966598510744,22.26400016784668,-0.0026907659871367416,2020-10-30,2020-11-02,3 days,
45,714,715,202.3300018310547,206.42999267578125,,,166.1053882598877,18.394199752807616,0.018243615958160823,2020-11-02,2020-11-03,1 days,
53,715,731,206.42999267578125,213.8699951171875,,,372.0442300415039,22.27589935302734,0.034005244890157174,2020-11-03,2020-11-25,22 days,
42,731,732,213.8699951171875,215.22999572753903,,,39.09782601928592,18.022199615478513,0.004352647125636884,2020-11-25,2020-11-27,2 days,
52,732,762,215.22999572753903,214.92999267578125,,,-37.968478088377424,22.36831939697265,-0.0033924780683702873,2020-11-27,2021-01-12,46 days,
42,762,763,214.92999267578125,216.33999633789065,,,41.10681427002072,18.11333953857422,0.004553732407985124,2021-01-12,2021-01-13,1 days,
