step,date,equity,cash,shares,price,action,suggested,drawdown_pct
0,2026-06-15,99961.94,99961.94,0,399.76,HOLD,74,0.0
1,2026-06-16,99961.94,99961.94,0,393.83,HOLD,73,0.0
2,2026-06-17,99961.94,99961.94,0,378.91,HOLD,73,0.0
3,2026-06-18,99961.94,99961.94,0,379.4,HOLD,79,0.0
4,2026-06-22,99961.94,99961.94,0,367.34,HOLD,80,0.0
5,2026-06-23,99961.94,99961.94,0,373.94,HOLD,85,0.0
6,2026-06-24,99961.94,99961.94,0,365.46,HOLD,86,0.0
7,2026-06-25,99961.94,99961.94,0,352.83,HOLD,83,0.0
8,2026-06-26,99961.94,99961.94,0,372.97,HOLD,79,0.0
9,2026-06-29,99961.94,99961.94,0,368.57,HOLD,76,0.0
10,2026-06-30,99961.94,99961.94,0,373.02,HOLD,77,0.0
11,2026-07-01,99961.94,99961.94,0,384.28,HOLD,73,0.0
12,2026-07-02,99961.94,99961.94,0,390.49,HOLD,75,0.0
13,2026-07-06,99961.94,99961.94,0,386.74,HOLD,76,0.0
14,2026-07-07,99961.94,99961.94,0,388.84,HOLD,76,0.0
15,2026-07-08,99961.94,99961.94,0,383.34,HOLD,77,0.0
16,2026-07-09,99961.94,99961.94,0,384.36,HOLD,79,0.0
