step,date,equity,cash,shares,price,action,suggested,drawdown_pct
0,2026-06-15,99961.94,99961.94,0,399.76,HOLD,74,0.0
1,2026-06-16,99961.94,99961.94,0,393.83,HOLD,73,0.0
2,2026-06-17,99961.94,99961.94,0,378.91,HOLD,73,0.0
3,2026-06-18,99961.94,80233.14,52,379.4,BUY,79,0.0
4,2026-06-22,99334.82,79498.46,54,367.34,BUY,80,0.6274
5,2026-06-23,99691.22,79498.46,54,373.94,HOLD,85,0.2708
6,2026-06-24,99233.3,79498.46,54,365.46,HOLD,86,0.7289
7,2026-06-25,98551.28,79145.63,55,352.83,BUY,83,1.4112
8,2026-06-26,99658.98,79145.63,55,372.97,HOLD,79,0.3031
9,2026-06-29,99416.98,79145.63,55,368.57,HOLD,76,0.5452
10,2026-06-30,99661.73,79145.63,55,373.02,HOLD,77,0.3003
11,2026-07-01,100281.03,79145.63,55,384.28,HOLD,73,0.0
12,2026-07-02,100622.58,79145.63,55,390.49,HOLD,75,0.0
13,2026-07-06,100416.33,79145.63,55,386.74,HOLD,76,0.205
14,2026-07-07,100531.83,79145.63,55,388.84,HOLD,76,0.0902
15,2026-07-08,100229.33,79145.63,55,383.34,HOLD,77,0.3908
16,2026-07-09,100285.43,79145.63,55,384.36,HOLD,79,0.3351
